,Product_Title,Original Price,Discounted Price,Additional_Tags,Ratings,Gender,Category,Formulation
267,Gynoveda Vitamin B12 Capsules For Men And Women (Pack Of 3),1497,1153,Rising Products,5,Unisex,Energy-boosters,Capsule
268,Zingavita Mighty Vitamins Gummies for Kids (With Essential M...,399,338,Rising Products,4,Unisex,Energy-boosters,Others
273,Himalayan Organics Multivitamin Tablets with Probiotics (45 ...,955,699,Rising Products,4,Unisex,Energy-boosters,Others
275,Be Bodywise Biotin Hair Gummies For Women (Biotin Supplement...,899,899,Rising Products,5,Female,Energy-boosters,Capsule
277,HealthKart HK Vitals Multivitamin Gummies - Orange Flavour,399,319,Rising Products,5,Unisex,Energy-boosters,Capsule
278,Healthkart Hk Vitals Multivitamin And Biotin 10000Mcg (Combo...,749,425,Rising Products,4,Unisex,Energy-boosters,Capsule
280,Gynoveda Multivitamin Capsules For Men & Women,499,439,Rising Products,5,Unisex,Energy-boosters,Capsule
281,Zingavita Multi Greens Multivitamin Effervescent Tablets for...,499,499,Rising Products,4,Unisex,Energy-boosters,Tablet
282,Nyumi UT Care Gummies with Patented Cranberry for Healthy Ur...,1290,1290,Rising Products,4,Unisex,Energy-boosters,Tablet
283,Himalayan Organics Multivitamin Tablets With Probiotics For ...,799,649,Rising Products,5,Female,Energy-boosters,Others
285,"Nyumi Core Immunity Gummies with Vit C, D3, Curcumin, Zinc, ...",990,990,Rising Products,5,Unisex,Energy-boosters,Tablet
286,Himalayan Organics Plant Based Multivitamin 60 Vegetarian Ca...,649,649,Rising Products,5,Unisex,Energy-boosters,Others
288,Mom & World Kidsy Multivitamin Gummies For Kids - Strawberry...,579,162,Rising Products,5,Unisex,Energy-boosters,Capsule
290,"Oziva Womens Multivitamins Fizzy Drink (with Iron, Calcium, ...",595,536,Rising Products,5,Female,Energy-boosters,Powder
296,Mom & World Kidsy Sharp Eyes + Multivitamin Gummies For Kids,1104,298,Rising Products,5,Unisex,Energy-boosters,Capsule
297,Healthkart Hk Vitals Multivitamin Women Daily & Fish Oil (Co...,749,425,Rising Products,5,Others,Energy-boosters,Capsule
301,Himalayan Organics Whole Food Multivitamin for Women,795,795,Rising Products,4,Female,Energy-boosters,Capsule
303,Himalayan Organics Immunity Multivitamin With Probiotics,975,749,Rising Products,3,Unisex,Energy-boosters,Tablet
305,Zingavita Kids Multivitamin Effervescent Tablets For Healthy...,698,698,Rising Products,4,Unisex,Energy-boosters,Tablet
306,"Plix Life Omega 3 Multivitamins For Daily Well-being, Pack O...",650,650,Rising Products,4,Unisex,Energy-boosters,Capsule
307,Myprotein Daily Multivitamins Tablets,999,999,Rising Products,3,Unisex,Energy-boosters,Tablet
309,Gynoveda Vitamin E Capsules For Men And Women (Pack Of 2),998,828,Rising Products,5,Unisex,Energy-boosters,Capsule
311,Himalayan Organics Whole Food Multivitamin for Men,795,795,Rising Products,4,Male,Energy-boosters,Capsule
312,Boldfit Immunity Multivitamins with Probiotics,699,699,Rising Products,5,Unisex,Energy-boosters,Capsule
314,Plix Life Green Elixir Wholefood Multivitamin Effervescent T...,350,350,Rising Products,4,Unisex,Energy-boosters,Tablet
316,Unived Multivitamin & Minerals For Women,600,600,Rising Products,1,Female,Energy-boosters,Capsule
317,Hera - Fertilife Multivitamin - Fertility Supplement to Boos...,1000,1000,Rising Products,5,Female,Energy-boosters,Capsule
318,GAT Zmag+t90 Capsules,2299,1299,Rising Products,5,Unisex,Energy-boosters,Capsule
320,Plix Life Green Elixir Wholefood Multivitamin Effervescent T...,1400,1400,Rising Products,3,Unisex,Energy-boosters,Tablet
322,Nutrainix Extreme Testosterone Booster And Organic Multivita...,2090,2090,Rising Products,5,Male,Energy-boosters,Capsule
323,Neulife (Vitrovea) Daily-Multi Immunity Multivitamin With Na...,1199,899,Rising Products,5,Unisex,Energy-boosters,Capsule
324,Hera - Women Wellness Bundle - All Essential Nutrients for a...,2498,2498,Rising Products,5,Female,Energy-boosters,Capsule
325,Gynoveda Vitamin B12 Capsules For Men And Women (Pack Of 2),998,659,Rising Products,5,Unisex,Energy-boosters,Capsule
326,Plix Life Green Elixir Wholefood Multivitamin Effervescent T...,700,700,Rising Products,5,Unisex,Energy-boosters,Tablet
328,"Plix Life Omega 3 Multivitamins For Daily Well-being, Pack O...",1300,1300,Rising Products,5,Unisex,Energy-boosters,Capsule
329,Zingavita Strong Immunity Elderberry & Multivitamin Gummies ...,399,399,Rising Products,4,Unisex,Energy-boosters,Capsule
